Gender,Age,Enjoyment_Level,Books_bought,Genre,Theme,Motivation,Choices,Focus,Time,Frequency,Place,Medium,Place_of_Purchase,Recommendation_Source,Favourite_Book
Male,Above 25,2,1,Self Help,Moral ambiguity,Relaxation,Well-written descriptive detail,Plot focused,Evening,"Weekly, once",At home,Print book,"Online, places like Amazon",Online/Social Media,Vennello Aadapilla
Male,Above 25,4,10,"Biography, Other","Power and corruption, Other","Personality Development, Enjoyment","Well-written descriptive detail, Other",Plot focused,"Evening, Night","Daily, 30-60minutes",At home,"Print book, Magazines, Newspaper, Websites","Online, places like Amazon","Online/Social Media, Friends",Freedom at midnight
Male,Above 25,5,20,"Fiction, Adventure, Biography","Love (romance), Survival, Coming of age, Power and corruption","Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Interesting character arcs, Complicated or multi-step plot",Plot focused,"Evening, Night","Daily, 30-60minutes","While commuting, At home","Print book, Newspaper","Online, places like Amazon, Book Stores","Online/Social Media, I like to browse books on my own",14 Peaks by Nirmal Purja
Female,Above 25,4,0,Other,Other,Personality Development,In-depth lore that you can escape into outside the confines of a book,Character focused,Night,"Daily, <30 minutes",At home,Print book,Book Stores,Friends,Seven habits of highly effective people
Male,Above 25,4,10,Self Help,Moral ambiguity,Personality Development,In-depth lore that you can escape into outside the confines of a book,Plot focused,"Morning, Night","Daily, > 60 minutes",At home,"Print book, Magazines, Newspaper","Book Stores, Other","Friends, Other",All types Spiritual Books
Male,Above 25,3,12,"Biography, Self Help, Other",Other,"Recommendations from a friend, Enjoyment","Well-written descriptive detail, Other",Plot focused,Night,"Weekly, thrice",At home,"Print book, Websites, Others","Online, places like Amazon","Online/Social Media, Friends, Other",The Psychology of Money ( in the last 3 months)
Male,Above 25,5,7,"Mystery, Biography, Self Help, Other","Survival, Suffering, Power and corruption, Other","Recommendations from a friend, Personality Development, Relaxation","Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes, Other",Plot focused,Night,"Daily, <30 minutes","While commuting, At home","Print book, Magazines, Newspaper","Online, places like Amazon","Online/Social Media, Friends",Wings of Fire
Male,Above 25,5,5,"Fiction, Mystery, Other","Power and corruption, Other","Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Complicated or multi-step plot, Other",Plot focused,"Evening, Night","Daily, > 60 minutes","At home, Other","Print book, E-book, Newspaper","Online, places like Amazon, Book Orders/Book Fairs from school","Friends, I like to browse books on my own",All Books by Lee Child
Male,Above 25,5,0,"Fiction, Mystery, Adventure, Biography, Comics, Other",Other,"Recommendations from a friend, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Exciting action scenes, Other",Plot focused,Night,"Daily, 30-60minutes",Other,Print book,"Online, places like Amazon, Book Orders/Book Fairs from school","Online/Social Media, Friends",Maharashtra
Male,Above 25,5,5,"Fiction, Adventure, Self Help","Coming of age, Moral ambiguity","Recommendations from a friend, Personality Development, Enjoyment","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs",Character focused,Afternoon,"Weekly, once",At home,"Print book, E-book","Online, places like Amazon, Book Stores","Friends, I like to browse books on my own",None
Male,Above 25,5,20,"Fiction, Fantasy, Comics, Sci-Fi, Other","Moral ambiguity, Other","Recommendations from a friend, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Other",Plot focused,"Morning, Night","Daily, > 60 minutes","While commuting, At home","Print book, E-book, Magazines, Websites","Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",Srimadbhagavadgita
Male,Above 25,5,10,"Fiction, Mystery, Adventure, Fantasy",Coming of age,Relaxation,Exciting action scenes,Plot focused,Night,"Daily, > 60 minutes",At home,Others,"Online, places like Amazon",Online/Social Media,Recently reading Witcher series
Male,Above 25,5,3000,"Fiction, Mystery, Adventure, Fantasy, Romance","Rebellion, Love (romance), Moral ambiguity","Enjoyment, Relaxation","Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Character focused,"Morning, Afternoon, Night","Daily, 30-60minutes",At home,Print book,Book Stores,I like to browse books on my own,"Yendamuru,madireddi malladi"
Male,Above 25,3,4,"Biography, Self Help, Other","Survival, Coming of age","Personality Development, Relaxation","Well-written descriptive detail, Witty or believable dialogue",Plot focused,Night,"Weekly, thrice","While commuting, At home","Print book, Magazines, Newspaper","Online, places like Amazon, Book Stores","Online/Social Media, Friends",Why Men dont listen and Women cant read maps
Male,Above 25,3,5,"Fiction, Adventure","Survival, Other",Relaxation,Interesting character arcs,Plot focused,Afternoon,"Weekly, once",At home,"Print book, Magazines, Newspaper",Book Stores,Friends,Telugu novels and short stories
Male,Above 25,4,4,"Biography, Fantasy","Survival, Suffering, Moral ambiguity","Enjoyment, Relaxation","Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Character focused,"Morning, Night","Weekly, thrice","In a library, At home","Print book, Magazines, Newspaper, Websites","Online, places like Amazon, Book Stores",Friends,Roots: The Saga of an American family
Male,18-21,3,3,"Fiction, Mystery, Adventure, Romance, Comics, Sci-Fi","Rebellion, Vengeance, Coming of age, Power and corruption","School/College Assignments, Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Character focused,Night,"Daily, 30-60minutes","In a library, At home","Print book, E-book, Magazines, Newspaper","Online, places like Amazon, Book Stores","Online/Social Media, Friends, Ads on TV/Computer, I like to browse books on my own, Other",None
Male,Above 25,4,6,Other,"Love (romance), Coming of age","Personality Development, Relaxation",Other,Plot focused,Morning,"Weekly, thrice",At home,"E-book, Newspaper","Online, places like Amazon",I like to browse books on my own,Finance Management
Male,Above 25,5,7,"Fiction, Comics, Sci-Fi",Power and corruption,Personality Development,Well-written descriptive detail,Character focused,Night,"Weekly, thrice",At home,"Print book, E-book","Online, places like Amazon, Book Orders/Book Fairs from school","Friends, I like to browse books on my own",Fifty shades darker
Male,21-24,3,5,"Comics, Self Help",Other,Personality Development,Other,Plot focused,"Morning, Afternoon, Evening, Night","Weekly, thrice","While commuting, At home","E-book, Others","Online, places like Amazon",I like to browse books on my own,"See this image Full Spectrum: India's Wars, 1972-2020"
Female,Below 18,5,10,"Mystery, Adventure, Sci-Fi","Survival, Coming of age, Other","Recommendations from a friend, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Exciting action scenes",Plot focused,"Evening, Night","Weekly, thrice","In a library, At home",Print book,"Online, places like Amazon, Book Stores","Friends, I like to browse books on my own",Percy Jackson
Female,18-21,3,3,"Fiction, Sci-Fi, Self Help","Rebellion, Love (romance), Moral ambiguity","School/College Assignments, Personality Development","Well-written descriptive detail, Witty or believable dialogue",Plot focused,Afternoon,"Daily, <30 minutes",At home,E-book,"Online, places like Amazon","Online/Social Media, I like to browse books on my own",None
Female,18-21,3,1,"Mystery, Adventure, Romance","Rebellion, Survival, Coming of age","Personality Development, Enjoyment","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot",Plot focused,Night,I don't prefer reading,At home,"Print book, Websites",Book Stores,Online/Social Media,Paper Towns
Male,Above 25,3,6,"Biography, Sci-Fi",Other,"Recommendations from a friend, Personality Development","Interesting character arcs, Exciting action scenes",Character focused,Evening,"Weekly, thrice",At home,Print book,"Online, places like Amazon, Book Stores","Online/Social Media, Friends",God Father
Female,Above 25,3,5,"Fiction, Mystery, Fantasy, Romance, Other","Rebellion, Love (romance), Survival","Recommendations from a friend, Enjoyment, Relaxation","Well-written descriptive detail, Interesting character arcs, Exciting action scenes",Plot focused,"Afternoon, Evening","Weekly, thrice",At home,"Print book, Newspaper, Websites","Online, places like Amazon, Book Stores","Friends, I like to browse books on my own",Harry Potter series
Female,18-21,5,3,"Fiction, Mystery, Adventure, Fantasy, Romance","Rebellion, Love (romance), Survival","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Plot focused,"Morning, Evening, Night","Daily, > 60 minutes","In a library, At home","E-book, Websites","Online, places like Amazon, Book Orders/Book Fairs from school","Online/Social Media, Friends, I like to browse books on my own",Percy Jackson series (can't choose one)
Male,Above 25,4,3,"Fiction, Mystery, Adventure, Self Help, Other","Survival, Moral ambiguity","Recommendations from a friend, Personality Development","Well-written descriptive detail, Exciting action scenes",Plot focused,Night,"Daily, <30 minutes",At home,"Print book, E-book, Magazines","Online, places like Amazon",I like to browse books on my own,7 habits
Female,18-21,5,4,"Biography, Romance","Love (romance), Coming of age","School/College Assignments, Personality Development, Relaxation","Well-written descriptive detail, Other",Character focused,Night,"Daily, > 60 minutes",At home,"Print book, Magazines, Applications","Book Stores, Book Orders/Book Fairs from school","Online/Social Media, Ads on TV/Computer",Romeo&juliet
Male,18-21,5,24,"Fiction, Other","Suffering, Moral ambiguity, Other","School/College Assignments, Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Other",Character focused,"Morning, Afternoon, Night","Daily, > 60 minutes",At home,Print book,"Online, places like Amazon","Online/Social Media, Friends, I like to browse books on my own",Crime and Punishment
Male,Above 25,4,5,"Biography, Sci-Fi, Self Help, Other",Other,Personality Development,Other,Character focused,Night,"Weekly, once",At home,"Print book, Websites","Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",Alchemist
Male,Above 25,3,1,Adventure,Moral ambiguity,Relaxation,Interesting character arcs,Character focused,Night,"Weekly, once",At home,"E-book, Websites","Online, places like Amazon",Online/Social Media,None
Female,18-21,5,1,"Mystery, Adventure, Biography, Fantasy, Romance, Comics","Vengeance, Love (romance), Survival","Recommendations from a friend, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Plot focused,"Evening, Night","Daily, 30-60minutes","In a library, At home, In a group, Other","Print book, E-book, Magazines, Newspaper, Websites",Other,"Online/Social Media, Friends, I like to browse books on my own",A Thosand Splendid Suns
Female,Below 18,5,20,"Fiction, Mystery, Adventure, Fantasy, Comics",Other,"Enjoyment, Relaxation","Interesting character arcs, Exciting action scenes, Other",Character focused,"Evening, Night","Daily, > 60 minutes",At home,Print book,"Online, places like Amazon, Book Stores","Online/Social Media, Other",Five go to billycock hill
Male,Above 25,4,2,"Fiction, Mystery, Adventure","Rebellion, Survival","Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Plot focused,"Morning, Night","Daily, 30-60minutes",At home,"Print book, Magazines","Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school","Online/Social Media, Friends, I like to browse books on my own",All Sidney Sheldon novels
Male,Above 25,5,5,Other,Other,"Recommendations from a friend, Personality Development",Other,Plot focused,"Evening, Night","Daily, <30 minutes",At home,Print book,"Online, places like Amazon",Friends,Sapiens
Female,18-21,4,5,"Biography, Self Help, Other","Coming of age, Other","School/College Assignments, Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes, Other",Character focused,"Afternoon, Evening, Night","Daily, 30-60minutes",At home,"Print book, E-book, Magazines","Online, places like Amazon, Other","Online/Social Media, Friends, I like to browse books on my own",deep work by cal newport
Female,18-21,5,30,"Fiction, Mystery, Adventure, Fantasy, Romance","Rebellion, Vengeance, Love (romance), Survival, Power and corruption","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Exciting action scenes",Plot focused,"Morning, Afternoon, Evening, Night","Daily, 30-60minutes",At home,"Print book, E-book","Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school","Online/Social Media, I like to browse books on my own",The Shiva Triology - Amish Tripathi
Female,21-24,5,8,"Fiction, Mystery, Fantasy, Romance, Sci-Fi, Other",Other,"Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes, Other",Plot focused,Night,"Weekly, thrice","While commuting, At home",Print book,"Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school, Other","Online/Social Media, Friends, Ads on TV/Computer, I like to browse books on my own, Other",Bloodline
Female,18-21,3,5,"Fiction, Comics, Sci-Fi",Other,"Recommendations from a friend, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue",Plot focused,"Evening, Night","Weekly, once",At home,"Print book, E-book, Magazines, Applications, Websites","Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school","Online/Social Media, Friends, Ads on TV/Computer",Are you afraid of the dark
Female,18-21,4,2,"Mystery, Comics, Self Help","Power and corruption, Moral ambiguity, Other",Personality Development,"Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot",Plot focused,Night,"Weekly, thrice",At home,"Print book, E-book, Newspaper, Applications, Websites","Online, places like Amazon","Online/Social Media, Friends, I like to browse books on my own",The Subtle Art of Not Giving a Fuck by Mark Manson
Female,Above 25,4,1,Comics,Love (romance),Enjoyment,Other,Character focused,Night,"Daily, 30-60minutes",At home,Websites,Other,Online/Social Media,Barister parvatisam
Female,Above 25,4,3,"Adventure, Romance, Comics, Other","Love (romance), Moral ambiguity, Other","Personality Development, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book, Other",Character focused,"Evening, Night","Daily, 30-60minutes","In a library, At home","Print book, E-book, Magazines, Websites, Others",Book Stores,"Friends, I like to browse books on my own",Around the World in 80 days by Jules Verne and it's telugu translation by Mullapudi Venkataramana
Female,Above 25,4,5,"Biography, Self Help, Other",Other,"Personality Development, Enjoyment, Relaxation",Other,Character focused,Evening,"Weekly, once",At home,"Print book, Websites","Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",None
Male,18-21,5,0,"Fiction, Adventure, Fantasy, Romance","Rebellion, Vengeance, Love (romance), Suffering","Enjoyment, Relaxation","Well-written descriptive detail, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Morning, Afternoon, Evening, Night","Daily, <30 minutes","At home, In a group, Other","E-book, Websites, Others","Book Stores, Other","Online/Social Media, Ads on TV/Computer, I like to browse books on my own",None
Female,18-21,2,0,"Fiction, Mystery, Romance",Love (romance),"School/College Assignments, Relaxation","Interesting character arcs, Complicated or multi-step plot",Plot focused,Night,I don't prefer reading,At home,"Print book, Magazines, Newspaper","Online, places like Amazon","Online/Social Media, Friends, I like to browse books on my own",Twilight
Female,18-21,3,2,"Fiction, Comics, Self Help","Rebellion, Love (romance), Coming of age","Recommendations from a friend, Enjoyment","Witty or believable dialogue, Interesting character arcs",Character focused,Night,"Weekly, once",At home,Print book,"Online, places like Amazon, Book Stores","Friends, I like to browse books on my own",learning how to fly: APJ Abdul Kalam
Female,Above 25,5,10,"Fiction, Mystery, Adventure, Romance, Sci-Fi","Love (romance), Coming of age, Other","Recommendations from a friend, Enjoyment, Relaxation","Well-written descriptive detail, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes, Other",Plot focused,"Morning, Afternoon, Evening, Night","Daily, 30-60minutes","While commuting, At home, Other","Print book, Magazines","Online, places like Amazon, Book Stores","Friends, I like to browse books on my own",The Broker by John Grisham
Female,Below 18,4,0,"Fiction, Romance, Comics","Love (romance), Coming of age","School/College Assignments, Enjoyment, Relaxation",Other,Character focused,"Morning, Night","Daily, > 60 minutes","While commuting, At home",Websites,"Online, places like Amazon","Online/Social Media, I like to browse books on my own",The Angel Next Door Spoils Me Rotten
Male,18-21,2,1,"Sci-Fi, Other","Rebellion, Coming of age","School/College Assignments, Relaxation","Well-written descriptive detail, Interesting character arcs",Plot focused,Night,"Weekly, once",At home,Print book,Book Stores,"Online/Social Media, Friends",None
Male,Above 25,5,5,"Fiction, Adventure, Biography, Fantasy, Sci-Fi","Coming of age, Power and corruption, Other","School/College Assignments, Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Other",Character focused,"Afternoon, Evening, Night","Daily, <30 minutes","While commuting, At home, Other","Print book, E-book, Applications, Websites","Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school","Online/Social Media, Friends, I like to browse books on my own",Dune - Frank Herbert
Male,18-21,4,3,"Fiction, Mystery, Adventure, Fantasy, Romance, Sci-Fi","Rebellion, Vengeance, Love (romance), Suffering, Power and corruption",Recommendations from a friend,"Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot",Character focused,Night,I don't prefer reading,"While commuting, At home","Print book, E-book","Online, places like Amazon",Friends,None
Female,18-21,3,3,Other,Power and corruption,Personality Development,Well-written descriptive detail,Plot focused,Night,"Daily, <30 minutes",In a library,"Print book, E-book","Online, places like Amazon",Online/Social Media,The power of habit
Male,Above 25,4,5,"Self Help, Other",Other,Personality Development,"Interesting character arcs, Other",Character focused,Morning,"Daily, 30-60minutes","While commuting, At home","E-book, Newspaper, Websites",Book Orders/Book Fairs from school,Online/Social Media,The power of habit
Female,18-21,3,5,Other,"Coming of age, Moral ambiguity",School/College Assignments,Well-written descriptive detail,Plot focused,"Morning, Afternoon, Evening, Night","Daily, > 60 minutes","In a library, At home","E-book, Websites","Online, places like Amazon",Online/Social Media,None
Male,Above 25,5,2,"Fantasy, Sci-Fi","Power and corruption, Moral ambiguity, Other","Recommendations from a friend, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes, Other",Plot focused,Evening,"Weekly, thrice","While commuting, At home","E-book, Websites","Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",A Deepness In The Sky
Female,18-21,5,10,"Fiction, Mystery, Adventure, Sci-Fi, Self Help, Other","Survival, Coming of age, Suffering, Moral ambiguity, Other","Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, Exciting action scenes, Other",Plot focused,"Evening, Night","Daily, 30-60minutes",At home,Print book,"Online, places like Amazon, Book Stores",I like to browse books on my own,One day - David Nicholls
Female,Above 25,4,4,"Fiction, Mystery",Moral ambiguity,"Recommendations from a friend, Enjoyment, Relaxation","Interesting character arcs, Complicated or multi-step plot",Character focused,Night,"Weekly, thrice","While commuting, At home","Print book, E-book","Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",-
Male,Below 18,4,0,"Fiction, Fantasy, Sci-Fi","Rebellion, Survival, Coming of age, Suffering, Power and corruption","School/College Assignments, Enjoyment, Relaxation","Well-written descriptive detail, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Plot focused,Night,"Daily, 30-60minutes",At home,Print book,Other,I like to browse books on my own,Nonr
Male,Above 25,2,0,Fiction,"Suffering, Power and corruption","Recommendations from a friend, Enjoyment","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs",Plot focused,"Afternoon, Evening",I don't prefer reading,Other,"Newspaper, Websites",Other,Other,The Corrections by Jonathan Franzen
Female,18-21,3,2,"Mystery, Adventure, Fantasy","Rebellion, Coming of age","Recommendations from a friend, Enjoyment, Relaxation","Well-written descriptive detail, Complicated or multi-step plot",Character focused,Afternoon,"Daily, <30 minutes","In a library, At home",Print book,Book Stores,Friends,None
Male,18-21,3,2,"Fiction, Mystery, Adventure, Biography, Self Help","Rebellion, Vengeance, Love (romance), Survival, Moral ambiguity","Recommendations from a friend, Personality Development, Enjoyment","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs",Plot focused,"Afternoon, Night","Daily, <30 minutes","In a library, While commuting, At home",Print book,"Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",Clifton Chronicles by Jeffery Archer
Female,Above 25,4,40,"Fiction, Mystery, Adventure, Fantasy, Other",Other,Enjoyment,Other,Plot focused,Night,"Weekly, once",At home,"Websites, Others","Online, places like Amazon",Online/Social Media,One Italian Summer - Lori Nelson Spielman
Female,21-24,4,0,"Fiction, Mystery, Adventure, Fantasy, Sci-Fi","Vengeance, Survival, Coming of age","Recommendations from a friend, Enjoyment","Well-written descriptive detail, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Character focused,"Morning, Evening, Night","Daily, 30-60minutes","In a library, While commuting, At home","Print book, E-book, Applications, Websites","Online, places like Amazon, Book Stores","Friends, I like to browse books on my own",The Snow Leopard Adventure
Female,18-21,5,6,"Mystery, Adventure",Coming of age,"Recommendations from a friend, Relaxation",Well-written descriptive detail,Character focused,Night,"Weekly, once",At home,Print book,"Online, places like Amazon, Book Stores",Friends,Dune
Male,18-21,5,2,"Mystery, Biography","Survival, Coming of age","Recommendations from a friend, Relaxation","Witty or believable dialogue, Interesting character arcs",Plot focused,Night,"Weekly, once","In a library, At home","Print book, E-book, Newspaper","Online, places like Amazon, Book Stores","Online/Social Media, Friends",7 Habits of my life
Male,18-21,3,2,"Fantasy, Romance, Comics","Love (romance), Survival, Coming of age, Power and corruption","Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot",Plot focused,"Morning, Afternoon","Daily, 30-60minutes",At home,"E-book, Websites","Online, places like Amazon","Online/Social Media, Friends",None
Male,18-21,3,4,"Fiction, Sci-Fi, Self Help","Vengeance, Survival","Personality Development, Enjoyment","Well-written descriptive detail, Complicated or multi-step plot",Plot focused,Night,"Weekly, once",At home,E-book,"Online, places like Amazon",Friends,None
Male,18-21,3,2,"Fiction, Mystery, Adventure, Comics","Love (romance), Survival, Coming of age, Power and corruption, Moral ambiguity","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Plot focused,"Morning, Evening, Night","Weekly, once","While commuting, At home","Print book, E-book","Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",None
Male,18-21,3,5,"Fiction, Mystery, Adventure, Romance, Comics, Sci-Fi","Love (romance), Survival, Power and corruption","School/College Assignments, Personality Development","Well-written descriptive detail, Interesting character arcs",Plot focused,Night,"Daily, <30 minutes","While commuting, At home","Print book, Newspaper","Online, places like Amazon","Online/Social Media, Friends",None
Male,18-21,3,0,"Fiction, Mystery, Adventure, Romance","Rebellion, Vengeance, Love (romance), Survival","Recommendations from a friend, Enjoyment","Well-written descriptive detail, Interesting character arcs",Plot focused,"Afternoon, Evening","Weekly, thrice",At home,"E-book, Applications, Websites","Online, places like Amazon, Other","Online/Social Media, Friends",Da Vinci code
Male,18-21,4,10,"Fiction, Mystery, Adventure, Fantasy, Romance","Love (romance), Power and corruption","Recommendations from a friend, Enjoyment","Well-written descriptive detail, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Plot focused,Night,"Weekly, once","In a library, At home",Print book,"Online, places like Amazon, Book Orders/Book Fairs from school","Online/Social Media, Friends, I like to browse books on my own",Harry Potter
Female,18-21,4,20,"Fiction, Mystery, Fantasy, Sci-Fi, Other","Rebellion, Vengeance, Survival, Coming of age, Moral ambiguity","Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Plot focused,"Afternoon, Night","Daily, <30 minutes","In a library, At home","Print book, E-book","Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school","Online/Social Media, Friends, I like to browse books on my own",A Man Called Ove
Female,18-21,5,10,"Fiction, Adventure, Sci-Fi","Rebellion, Vengeance, Survival, Coming of age, Suffering","Enjoyment, Relaxation","Witty or believable dialogue, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Character focused,Night,"Weekly, thrice","In a library, At home","Print book, E-book","Online, places like Amazon, Book Stores","Friends, I like to browse books on my own",The Book Thief
Male,21-24,4,40,"Fiction, Mystery, Biography, Fantasy, Sci-Fi","Vengeance, Survival, Coming of age, Power and corruption, Moral ambiguity","Recommendations from a friend, Enjoyment, Relaxation",Other,Plot focused,"Morning, Afternoon, Evening, Night","Daily, > 60 minutes",At home,"E-book, Websites","Online, places like Amazon","Online/Social Media, I like to browse books on my own, Other",None
Female,18-21,5,12,"Fiction, Mystery, Fantasy, Romance, Self Help","Vengeance, Love (romance), Survival","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Evening, Night","Daily, <30 minutes","In a library, At home","Print book, E-book, Websites","Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school","Online/Social Media, Friends",The Book Thief
Female,18-21,5,3,"Fiction, Mystery, Fantasy, Romance","Love (romance), Coming of age, Moral ambiguity, Other","Recommendations from a friend, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs",Character focused,"Morning, Afternoon, Night","Daily, > 60 minutes",At home,"E-book, Applications, Websites",Book Stores,"Online/Social Media, Friends",All the light we cannot see by anthony doerr
Female,18-21,5,0,"Fiction, Romance, Comics, Other","Rebellion, Vengeance, Love (romance), Survival, Coming of age, Suffering, Moral ambiguity","Personality Development, Enjoyment","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Character focused,Night,"Daily, > 60 minutes",Other,E-book,"Online, places like Amazon, Other",I like to browse books on my own,None
Male,18-21,3,0,"Fiction, Mystery","Rebellion, Vengeance, Other","Recommendations from a friend, Enjoyment, Relaxation","Interesting character arcs, Complicated or multi-step plot",Plot focused,Evening,I don't prefer reading,At home,"E-book, Websites",Other,Friends,Attack on Titan
Female,21-24,4,5,"Fiction, Mystery, Adventure, Sci-Fi","Rebellion, Vengeance, Moral ambiguity","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot",Plot focused,"Afternoon, Night","Daily, > 60 minutes","In a library, At home","Print book, E-book","Online, places like Amazon, Book Stores, Other","Online/Social Media, Friends, I like to browse books on my own",The Kite Runner
Female,18-21,4,5,"Fiction, Mystery, Fantasy, Romance","Vengeance, Love (romance), Coming of age, Moral ambiguity","Personality Development, Enjoyment","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs",Plot focused,Night,"Daily, 30-60minutes",At home,"E-book, Websites","Online, places like Amazon","Online/Social Media, Ads on TV/Computer",The boy in stripped pyjamas
Male,18-21,5,10,"Fiction, Mystery, Adventure, Biography, Fantasy, Romance, Comics, Sci-Fi, Self Help, Other","Vengeance, Love (romance)","Personality Development, Enjoyment","Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Plot focused,Night,"Daily, > 60 minutes",At home,"E-book, Websites","Online, places like Amazon","Online/Social Media, Friends",Think And Grow Rich
Male,21-24,4,6,"Mystery, Adventure, Romance, Comics, Sci-Fi","Vengeance, Love (romance), Survival, Coming of age, Suffering, Power and corruption","Recommendations from a friend, Enjoyment","Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot",Character focused,Afternoon,"Weekly, thrice","In a library, At home","Print book, E-book, Magazines","Online, places like Amazon, Book Stores","Online/Social Media, Friends, Ads on TV/Computer",Think and grow rich
Female,18-21,2,0,"Fiction, Mystery, Adventure, Fantasy, Romance, Sci-Fi",Love (romance),Relaxation,"Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Character focused,"Morning, Night","Daily, 30-60minutes",At home,Applications,Other,I like to browse books on my own,None
